topology,grid_size,iterations,wall_time
2x2,200x200,100,0.022193
2x2,200x200,300,0.053029
2x2,200x200,500,0.083637
2x2,200x200,1000,0.166099
2x2,200x200,1600,0.272864
2x2,400x400,100,0.076316
2x2,400x400,300,0.199768
2x2,400x400,500,0.323909
2x2,400x400,1000,0.616499
2x2,400x400,1600,0.990703
2x2,800x800,100,0.284923
2x2,800x800,300,0.773363
2x2,800x800,500,1.271460
2x2,800x800,1000,2.450446
2x2,800x800,1600,3.942040
4x1,200x200,100,0.021152
4x1,200x200,300,0.051947
4x1,200x200,500,0.082275
4x1,200x200,1000,0.272864
4x1,200x200,1600,0.284067
4x1,400x400,100,0.075288
4x1,400x400,300,0.196998
4x1,400x400,500,0.368576
4x1,400x400,1000,0.616892
4x1,400x400,1600,1.018247
4x1,800x800,100,0.291076
4x1,800x800,300,0.806310
4x1,800x800,500,1.241057
4x1,800x800,1000,2.378917
4x1,800x800,1600,3.905338
